Application order,Age at enrollment,Unemployment rate,Inflation rate,GDP,Units 1st sem credit,Units 1st sem enroll,Units 1st sem approved,Units 1st sem grade,Units 1st sem eval,Units 1st sem without eval
1,25,15.5,2.8,-4.06,0,6,0,0,6,0
4,20,11.1,0.6,2.02,0,6,6,11.5,7,0
4,21,9.4,-0.8,-3.12,0,6,5,12.6,9,0
2,28,16.2,0.3,-0.92,0,7,7,14.11428571,7,0
6,18,12.7,3.7,-1.7,0,8,7,12.77142857,11,0
3,20,10.8,1.4,1.74,0,8,7,13.02428571,8,0
1,21,13.9,-0.3,0.79,3,6,6,12,7,0
1,20,9.4,-0.8,-3.12,0,6,6,12.16666667,6,0
1,18,15.5,2.8,-4.06,0,6,6,12.16666667,6,0
2,25,15.5,2.8,-4.06,0,7,2,10,7,0
1,18,9.4,-0.8,-3.12,0,6,4,12,10,0
1,19,7.6,2.6,0.32,0,5,5,14.4,7,0
1,20,8.9,1.4,3.51,0,5,5,12,9,0
1,18,12.4,0.5,1.79,0,6,6,11.28571429,8,0
1,18,12.4,0.5,1.79,0,6,6,11.66666667,7,0
1,18,9.4,-0.8,-3.12,0,6,0,0,12,1
5,37,7.6,2.6,0.32,0,6,0,0,12,0
1,19,9.4,-0.8,-3.12,0,8,8,13.3475,8,0
1,20,11.1,0.6,2.02,4,7,7,13,8,0
1,19,11.1,0.6,2.02,0,6,6,12.83333333,7,0
1,37,9.4,-0.8,-3.12,7,12,12,12.25,13,0
2,20,13.9,-0.3,0.79,0,7,6,12.78333333,9,0
1,35,9.4,-0.8,-3.12,0,5,0,0,5,0
1,20,12.4,0.5,1.79,1,6,3,12,11,0
1,30,8.9,1.4,3.51,6,11,9,12.22222222,20,0
1,27,8.9,1.4,3.51,0,6,0,0,6,0
1,22,9.4,-0.8,-3.12,0,5,3,11.33333333,6,0
1,19,13.9,-0.3,0.79,0,6,6,12.85714286,7,0
1,19,12.4,0.5,1.79,0,6,6,13.5,6,0
1,18,8.9,1.4,3.51,0,6,6,12.83333333,8,0
1,20,12.7,3.7,-1.7,0,5,4,12.5,10,0
3,18,9.4,-0.8,-3.12,0,8,8,13.01125,8,0
2,18,13.9,-0.3,0.79,0,7,7,12.5,8,0
5,18,8.9,1.4,3.51,0,6,6,13.66666667,6,0
1,18,13.9,-0.3,0.79,0,7,7,17.125,8,0
1,19,13.9,-0.3,0.79,0,5,5,10.875,10,0
1,25,13.9,-0.3,0.79,0,5,0,0,5,0
2,18,7.6,2.6,0.32,0,6,0,0,0,0
1,18,16.2,0.3,-0.92,0,7,4,12.65,12,0
1,22,12.7,3.7,-1.7,0,6,4,13,11,0
1,31,12.7,3.7,-1.7,0,7,5,10.9,21,3
1,34,7.6,2.6,0.32,0,5,2,10,7,0
1,23,11.1,0.6,2.02,0,6,6,14,10,0
4,34,9.4,-0.8,-3.12,0,5,0,0,5,0
2,19,10.8,1.4,1.74,0,5,5,11.2,5,0
1,23,13.9,-0.3,0.79,0,6,2,11.33333333,12,0
3,18,11.1,0.6,2.02,0,6,6,14.33333333,6,0
1,20,12.4,0.5,1.79,0,6,5,13,9,0
1,24,13.9,-0.3,0.79,0,6,6,14.85714286,7,0
1,18,9.4,-0.8,-3.12,0,0,0,0,0,0
4,18,7.6,2.6,0.32,0,6,6,12.66666667,6,0
1,20,9.4,-0.8,-3.12,0,8,0,0,8,8
4,18,12.7,3.7,-1.7,0,8,7,12.62857143,8,0
1,41,12.7,3.7,-1.7,5,10,10,14.3,11,0
1,54,7.6,2.6,0.32,0,6,4,12.75,8,0
1,22,12.4,0.5,1.79,1,6,6,13,9,0
2,41,7.6,2.6,0.32,0,6,4,13.5,10,0
1,24,16.2,0.3,-0.92,2,6,3,11.75,11,0
1,37,12.4,0.5,1.79,12,16,16,14.125,17,0
5,18,10.8,1.4,1.74,0,8,7,12.69428571,8,0
1,18,11.1,0.6,2.02,0,6,5,11.8,10,0
1,20,8.9,1.4,3.51,0,6,6,12.33333333,9,0
1,25,7.6,2.6,0.32,0,6,6,13.16666667,8,0
1,23,11.1,0.6,2.02,0,6,6,13,10,0
1,19,12.4,0.5,1.79,0,0,0,0,0,0
1,31,13.9,-0.3,0.79,0,5,4,11.25,11,0
1,29,13.9,-0.3,0.79,1,6,6,17.11111111,10,0
2,24,11.1,0.6,2.02,0,0,0,0,0,0
1,37,9.4,-0.8,-3.12,0,5,5,15.8,10,0
1,19,12.4,0.5,1.79,0,6,6,15,7,0
1,52,13.9,-0.3,0.79,11,15,14,10.46666667,26,0
6,18,12.7,3.7,-1.7,0,8,7,13.58571429,8,0
1,27,12.7,3.7,-1.7,3,8,7,12.45714286,12,0
1,18,16.2,0.3,-0.92,0,6,6,14.7,10,0
1,22,16.2,0.3,-0.92,0,6,0,0,16,0
1,18,15.5,2.8,-4.06,0,6,6,13.14285714,8,0
1,35,15.5,2.8,-4.06,0,6,0,0,0,0
1,33,9.4,-0.8,-3.12,0,5,1,18,14,0
1,19,8.9,1.4,3.51,0,6,6,13.16666667,7,0
1,35,16.2,0.3,-0.92,0,7,3,11.25,18,0
1,19,7.6,2.6,0.32,0,6,3,12,11,0
1,28,9.4,-0.8,-3.12,8,14,12,12.33333333,22,0
1,19,7.6,2.6,0.32,0,7,5,11.2,8,0
1,19,15.5,2.8,-4.06,0,6,6,16,13,0
3,19,16.2,0.3,-0.92,0,6,5,11.28571429,10,0
1,19,10.8,1.4,1.74,0,6,3,11.66666667,8,0
1,32,16.2,0.3,-0.92,0,6,4,11.5,14,0
1,26,12.7,3.7,-1.7,0,6,6,12,7,0
1,18,11.1,0.6,2.02,0,6,6,15.5,6,0
1,20,8.9,1.4,3.51,0,7,0,0,14,6
1,26,7.6,2.6,0.32,0,5,0,0,9,0
2,19,9.4,-0.8,-3.12,0,6,3,12.66666667,14,0
1,18,7.6,2.6,0.32,0,5,2,14,10,0
1,19,15.5,2.8,-4.06,0,6,6,15.23076923,13,0
1,28,12.7,3.7,-1.7,0,6,2,12,9,0
1,47,8.9,1.4,3.51,0,1,0,0,1,0
2,18,9.4,-0.8,-3.12,0,6,6,11.33333333,8,0
5,18,8.9,1.4,3.51,0,6,0,0,0,0
1,31,10.8,1.4,1.74,0,5,0,0,0,0
1,22,8.9,1.4,3.51,7,12,7,11,12,0
2,20,9.4,-0.8,-3.12,0,8,8,12.98125,8,0
2,20,7.6,2.6,0.32,0,5,2,14.33333333,9,0
1,20,12.7,3.7,-1.7,0,8,7,14.01428571,8,0
6,20,10.8,1.4,1.74,0,6,5,12.2,8,0
1,31,16.2,0.3,-0.92,0,6,3,14.4,15,0
1,30,15.5,2.8,-4.06,1,6,2,15,9,0
1,41,7.6,2.6,0.32,0,5,4,11.25,8,0
1,19,7.6,2.6,0.32,0,5,4,13.75,9,1
2,20,16.2,0.3,-0.92,0,6,0,0,0,0
1,44,13.9,-0.3,0.79,0,6,5,11.57142857,9,0
6,20,13.9,-0.3,0.79,0,7,6,13,9,0
1,18,7.6,2.6,0.32,0,6,0,0,14,0
1,18,11.1,0.6,2.02,0,6,6,14,6,0
1,18,9.4,-0.8,-3.12,0,6,3,12.33333333,11,0
4,19,12.7,3.7,-1.7,0,8,7,13.31428571,8,0
1,21,15.5,2.8,-4.06,8,12,12,14.53846154,13,0
1,47,7.6,2.6,0.32,0,6,0,0,12,0
1,21,8.9,1.4,3.51,13,13,11,12.72727273,13,0
1,21,9.4,-0.8,-3.12,0,6,2,11.5,12,0
1,18,13.9,-0.3,0.79,0,6,6,13.42857143,7,0
1,19,12.4,0.5,1.79,0,6,6,14.66666667,6,0
3,21,16.2,0.3,-0.92,0,6,6,13.875,8,0
1,47,12.7,3.7,-1.7,1,7,6,12.51428571,16,0
4,19,12.4,0.5,1.79,0,7,6,11.65833333,8,0
4,19,11.1,0.6,2.02,0,7,7,13.19857143,8,0
1,20,12.4,0.5,1.79,0,6,4,12.8,12,0
1,19,12.4,0.5,1.79,0,5,5,11.2,6,0
1,21,16.2,0.3,-0.92,0,0,0,0,0,0
1,20,13.9,-0.3,0.79,1,2,2,12,2,0
1,19,10.8,1.4,1.74,0,8,7,14.53571429,8,0
1,31,16.2,0.3,-0.92,1,6,2,12,11,1
3,19,7.6,2.6,0.32,1,6,2,10.5,16,0
1,19,12.4,0.5,1.79,2,6,5,11.6,7,0
1,43,12.4,0.5,1.79,0,6,5,11,8,0
1,28,16.2,0.3,-0.92,14,18,14,12.78571429,23,2
2,20,10.8,1.4,1.74,0,6,2,12,15,0
1,22,12.7,3.7,-1.7,0,0,0,0,0,0
1,35,16.2,0.3,-0.92,3,10,6,12.66666667,18,0
1,19,12.4,0.5,1.79,0,5,5,11,8,0
1,32,13.9,-0.3,0.79,0,7,7,13.62857143,7,0
1,39,7.6,2.6,0.32,0,7,5,12.16,8,0
1,22,12.4,0.5,1.79,2,7,7,12.28571429,7,0
2,20,11.1,0.6,2.02,0,6,0,0,0,0
1,18,7.6,2.6,0.32,0,6,4,11,9,0
4,18,12.7,3.7,-1.7,0,4,0,0,4,0
1,19,16.2,0.3,-0.92,0,6,6,12.25,8,0
1,21,15.5,2.8,-4.06,0,6,4,11.25,11,0
1,25,10.8,1.4,1.74,0,8,7,14.80571429,8,0
1,35,8.9,1.4,3.51,0,7,0,0,8,1
1,19,10.8,1.4,1.74,0,6,4,11,8,0
3,18,7.6,2.6,0.32,0,5,3,13,7,0
1,27,12.4,0.5,1.79,0,7,4,14,12,0
1,19,7.6,2.6,0.32,0,7,6,14.56666667,7,0
1,18,16.2,0.3,-0.92,0,7,7,13.28571429,7,0
1,25,9.4,-0.8,-3.12,0,5,4,13.5,14,2
1,47,15.5,2.8,-4.06,0,7,0,0,7,7
2,22,11.1,0.6,2.02,14,17,17,12.57894737,21,0
5,19,13.9,-0.3,0.79,0,6,5,11.6,9,0
1,19,11.1,0.6,2.02,0,7,7,13.79857143,7,0
3,19,12.7,3.7,-1.7,0,7,7,11.67777778,9,0
1,18,12.4,0.5,1.79,0,5,5,14,5,0
2,19,10.8,1.4,1.74,0,8,7,12.34285714,8,0
1,18,7.6,2.6,0.32,0,7,6,12.91666667,7,0
5,19,9.4,-0.8,-3.12,0,8,8,13.2325,9,1
1,33,9.4,-0.8,-3.12,0,6,6,11,7,0
1,24,15.5,2.8,-4.06,0,6,6,15.16666667,6,0
1,19,7.6,2.6,0.32,0,5,4,12.5,8,0
1,19,7.6,2.6,0.32,0,5,3,12,8,0
1,19,12.4,0.5,1.79,0,5,1,10,13,0
1,49,12.7,3.7,-1.7,9,13,10,10.4,22,0
1,18,11.1,0.6,2.02,0,6,6,15.5,6,0
1,21,13.9,-0.3,0.79,9,11,10,12.4,14,0
1,18,7.6,2.6,0.32,0,5,4,12,7,0
1,46,15.5,2.8,-4.06,0,6,0,0,6,0
3,19,16.2,0.3,-0.92,0,6,6,12.16666667,7,0
1,21,13.9,-0.3,0.79,0,6,5,12.14285714,12,0
4,18,7.6,2.6,0.32,0,7,6,13.45,7,0
1,35,15.5,2.8,-4.06,0,5,5,11.6,5,0
1,18,15.5,2.8,-4.06,0,6,5,11.83333333,9,0
2,21,9.4,-0.8,-3.12,0,6,3,11,11,0
1,18,11.1,0.6,2.02,0,6,5,12.2,7,0
1,19,12.4,0.5,1.79,0,5,2,12.5,9,0
1,18,10.8,1.4,1.74,0,6,4,13.5,12,0
1,23,12.4,0.5,1.79,0,6,5,11.6,13,0
1,19,10.8,1.4,1.74,0,5,3,10.66666667,7,0
1,60,13.9,-0.3,0.79,0,6,6,12.75,10,0
1,35,12.4,0.5,1.79,19,21,21,12.61904762,21,0
2,19,12.4,0.5,1.79,0,5,5,13.4,6,0
1,29,9.4,-0.8,-3.12,0,5,0,0,11,4
3,19,10.8,1.4,1.74,0,5,5,14.6,6,0
1,29,9.4,-0.8,-3.12,8,13,8,10.5,16,0
5,18,12.7,3.7,-1.7,0,8,7,12.11428571,8,0
4,19,11.1,0.6,2.02,0,6,6,13.375,8,0
1,33,10.8,1.4,1.74,0,5,5,14.2,5,0
1,24,8.9,1.4,3.51,0,6,2,11,10,0
1,19,10.8,1.4,1.74,0,6,5,12.6,7,0
1,19,8.9,1.4,3.51,6,12,12,12.33333333,13,0
1,20,15.5,2.8,-4.06,0,7,7,14.00375,8,0
4,21,7.6,2.6,0.32,0,7,6,14.03333333,7,0
1,19,9.4,-0.8,-3.12,0,5,5,14.85714286,10,2
4,19,11.1,0.6,2.02,0,6,6,12.66666667,6,0
1,20,13.9,-0.3,0.79,0,0,0,0,0,0
1,21,13.9,-0.3,0.79,0,6,6,12.66666667,9,0
5,20,12.4,0.5,1.79,0,5,3,13.33333333,10,0
1,28,11.1,0.6,2.02,0,6,4,12,15,0
1,26,10.8,1.4,1.74,0,5,2,12,9,0
1,24,7.6,2.6,0.32,0,5,2,11.5,9,0
1,27,12.4,0.5,1.79,0,7,6,11.66666667,14,0
2,19,9.4,-0.8,-3.12,0,6,5,13,8,0
1,19,12.4,0.5,1.79,3,6,6,13.14285714,7,0
1,20,15.5,2.8,-4.06,0,6,0,0,6,0
6,19,12.7,3.7,-1.7,0,8,7,12.65714286,8,0
5,21,13.9,-0.3,0.79,0,6,5,11.83333333,10,0
1,20,13.9,-0.3,0.79,0,7,6,12.7,9,0
1,18,16.2,0.3,-0.92,0,7,6,11.98,10,0
1,18,12.7,3.7,-1.7,0,6,6,15.14285714,7,0
1,19,9.4,-0.8,-3.12,0,6,4,14,10,0
1,43,10.8,1.4,1.74,0,8,7,11.63571429,8,0
1,35,15.5,2.8,-4.06,1,6,5,12.8,7,0
1,38,11.1,0.6,2.02,0,7,5,12.18,11,0
4,19,10.8,1.4,1.74,0,8,7,12.66571429,8,0
1,20,10.8,1.4,1.74,0,6,2,10.5,14,0
1,20,11.1,0.6,2.02,5,11,11,13.81818182,11,0
1,44,12.7,3.7,-1.7,0,6,1,14,9,0
4,19,8.9,1.4,3.51,0,5,5,12.4,7,0
6,18,11.1,0.6,2.02,0,7,6,13.97666667,8,0
1,49,10.8,1.4,1.74,0,6,6,12.28571429,8,0
5,18,9.4,-0.8,-3.12,0,8,8,13.435,8,0
1,20,11.1,0.6,2.02,0,6,5,11,9,0
3,18,12.4,0.5,1.79,0,6,6,16,6,0
1,37,16.2,0.3,-0.92,0,5,5,13,8,0
1,20,7.6,2.6,0.32,0,6,5,12.6,9,0
1,23,16.2,0.3,-0.92,2,7,5,12.2,8,0
1,55,7.6,2.6,0.32,0,5,0,0,5,0
1,18,13.9,-0.3,0.79,0,6,6,14.5,8,0
1,25,12.4,0.5,1.79,9,13,10,11.45454545,16,0
6,20,12.4,0.5,1.79,0,4,0,0,4,0
1,21,8.9,1.4,3.51,0,6,5,11.83333333,9,0
1,20,15.5,2.8,-4.06,0,6,0,0,0,0
1,34,9.4,-0.8,-3.12,3,8,3,11,9,0
3,18,13.9,-0.3,0.79,0,6,0,0,0,0
1,19,13.9,-0.3,0.79,0,6,6,13.66666667,10,0
6,18,9.4,-0.8,-3.12,0,8,8,12.93375,8,0
2,19,13.9,-0.3,0.79,0,5,2,10.75,15,0
1,18,9.4,-0.8,-3.12,0,5,4,13,7,0
1,19,10.8,1.4,1.74,0,6,6,13.83333333,6,0
3,20,15.5,2.8,-4.06,0,6,5,12.8,6,0
1,29,13.9,-0.3,0.79,0,6,6,16.11111111,9,0
3,18,8.9,1.4,3.51,0,6,6,14.66666667,7,0
1,22,8.9,1.4,3.51,0,6,6,11,8,0
1,24,7.6,2.6,0.32,0,5,0,0,5,0
1,57,9.4,-0.8,-3.12,12,15,12,11.75,17,0
1,18,7.6,2.6,0.32,0,7,6,13.18333333,7,0
